Symbolic-Compositional Best-Effort Synthesizer,unrgoal_4.ltlf,env_5.ltlf,Agent,0.028,0,0,0,0.028,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_4.ltlf,env_6.ltlf,Agent,0.026,0,0,0,0.026,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_4.ltlf,env_7.ltlf,Agent,0.027,0,0,0,0.027,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_4.ltlf,env_8.ltlf,Agent,0.029,0.001,0,0,0.03,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_4.ltlf,env_9.ltlf,Agent,0.031,0,0,0,0.031,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_4.ltlf,env_10.ltlf,Agent,0.033,0.001,0,0,0.034,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_5.ltlf,env_1.ltlf,Agent,0.032,0,0,0,0.032,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_5.ltlf,env_2.ltlf,Agent,0.032,0.001,0,0,0.033,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_5.ltlf,env_3.ltlf,Agent,0.034,0,0,0,0.034,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_5.ltlf,env_4.ltlf,Agent,0.033,0.001,0,0,0.034,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_5.ltlf,env_5.ltlf,Agent,0.035,0,0,0,0.035,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_5.ltlf,env_6.ltlf,Agent,0.037,0.001,0,0,0.038,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_5.ltlf,env_7.ltlf,Agent,0.034,0,0,0,0.034,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_5.ltlf,env_8.ltlf,Agent,0.037,0.001,0,0,0.038,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_5.ltlf,env_9.ltlf,Agent,0.039,0.001,0,0,0.04,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_5.ltlf,env_10.ltlf,Agent,0.04,0.001,0,0,0.041,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_6.ltlf,env_1.ltlf,Agent,0.065,0,0,0,0.065,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_6.ltlf,env_2.ltlf,Agent,0.068,0,0,0,0.068,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_6.ltlf,env_3.ltlf,Agent,0.067,0.001,0,0,0.068,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_6.ltlf,env_4.ltlf,Agent,0.07,0.001,0,0,0.071,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_6.ltlf,env_5.ltlf,Agent,0.068,0.001,0,0,0.069,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_6.ltlf,env_6.ltlf,Agent,0.072,0.001,0,0,0.073,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_6.ltlf,env_7.ltlf,Agent,0.073,0.001,0,0,0.074,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_6.ltlf,env_8.ltlf,Agent,0.072,0.001,0,0,0.073,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_6.ltlf,env_9.ltlf,Agent,0.075,0.001,0,0,0.076,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_6.ltlf,env_10.ltlf,Agent,0.075,0.001,0,0,0.076,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_7.ltlf,env_1.ltlf,Agent,0.957,0.001,0,0,0.958,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_7.ltlf,env_2.ltlf,Agent,0.981,0.001,0,0,0.982,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_7.ltlf,env_3.ltlf,Agent,1.001,0.001,0,0,1.002,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_7.ltlf,env_4.ltlf,Agent,0.98,0.001,0,0,0.981,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_7.ltlf,env_5.ltlf,Agent,0.98,0.001,0,0,0.981,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_7.ltlf,env_6.ltlf,Agent,1.002,0.001,0,0,1.003,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_7.ltlf,env_7.ltlf,Agent,0.939,0.001,0,0,0.94,Unr
